0.944999	4.38894	0.975447	0.880322
0.959999	3.62796	0.978549	0.863066
0.974999	2.4317	0.979533	0.877066
0.989999	-0.279965	0.980631	0.825139
1.005	-3.69241	0.983498	0.771665
1.02	-2.94157	0.992959	0.872487
1.035	-2.09722	0.993592	0.852973
1.05	-1.43055	0.992401	0.856494
1.065	0.0574538	0.992285	0.824272
1.08	1.98222	0.980226	0.82599
1.095	2.57012	0.977693	0.850707
1.11	1.60486	0.974751	0.838727
1.125	-1.0907	0.979615	0.773638
1.14	-3.57623	0.992841	0.816045
1.155	-2.5394	0.991027	0.838925
1.17	-1.8277	0.98728	0.852993
1.185	-1.557	0.981746	0.845991
1.2	-2.10144	0.977855	0.834768
1.215	-3.30434	0.969434	0.820618
1.23	-4.57687	0.910046	0.714778
1.245	-7.41475	0.823776	0.478417
1.26	-14.5361	0.796848	0.352173
1.275	-25.8461	0.976835	0.648687
1.29	-43.4128	0.838909	0.461694
1.305	-11.0936	0.929961	0.441354
1.32	-6.31103	0.913582	0.591966
1.335	-2.32964	0.862742	0.362604
1.35	-0.16647	0.899968	0.392673
1.365	1.82151	0.961142	0.780291
1.38	3.14122	0.975254	0.863018
1.395	2.21883	0.981855	0.863068
1.41	-1.06143	0.978812	0.83182
1.425	-6.53045	0.97373	0.740629
1.44	-13.3113	0.87848	0.622546
1.455	-15.0022	0.643484	0.499425
1.47	-12.1132	0.81537	0.628228
1.485	-7.04802	0.968569	0.776189
1.5	-3.61255	0.985214	0.868116
1.515	-2.54532	0.983941	0.868357
1.53	-3.56868	0.982614	0.856393
1.545	-5.94792	0.984427	0.842209
1.56	-8.95595	0.978835	0.813141
1.575	-11.5398	0.981696	0.820668
1.59	-8.88835	0.983103	0.741046
1.605	-0.457817	0.976619	0.734015
1.62	5.96732	0.981835	0.833446
1.635	6.85857	0.975015	0.869276
1.65	4.80023	0.963667	0.826258
1.665	4.20188	0.964461	0.863219
1.68	3.97865	0.965223	0.850967
1.695	3.46528	0.966951	0.85582
1.71	2.49572	0.968329	0.862033
1.725	1.02602	0.971676	0.850654
1.74	-1.19551	0.976998	0.840736
1.755	-3.43426	0.988165	0.809964
1.77	-3.63015	0.994065	0.87487
1.785	-3.68768	0.992844	0.869775
1.8	-3.55686	0.991944	0.871018
1.815	-3.34372	0.992716	0.87227
1.83	-3.42693	0.99367	0.873381
1.845	-4.08882	0.994782	0.871876
1.86	-6.43864	0.993418	0.856554
1.875	-10.9406	0.940885	0.526436
1.89	-10.7262	0.472732	0.277955
1.905	-10.2608	0.295451	0.249788
1.92	-10.9525	0.254353	0.309284
1.935	-13.0387	0.302965	0.398007
1.95	-22.9331	0.765031	0.333123
1.965	-28.9692	0.914453	0.340995
1.98	-11.4798	0.989526	0.574664
1.995	-5.6538	0.996961	0.829204
2.01	-3.01906	0.991646	0.831119
2.025	-2.4758	0.984459	0.845241
2.04	-3.29621	0.97494	0.818876
2.055	-4.45933	0.977826	0.823258
2.07	-5.33529	0.979008	0.817447
2.085	-6.14	0.978782	0.828552
2.1	-7.3589	0.970863	0.818231
2.115	-8.76348	0.977661	0.82457
2.13	-10.323	0.982452	0.819295
2.145	-12.3372	0.983606	0.818696
2.16	-14.6391	0.988221	0.818699
2.175	-18.5232	0.983336	0.705533
2.19	-25.8196	0.972662	0.574309
2.205	-38.6471	0.874199	0.367351
2.22	-49.2926	0.4672	0.137691
2.235	-48.6735	0.553009	0.244287
2.25	-47.8153	0.639297	0.278482
2.265	-22.4497	0.811688	0.433069
2.28	-15.6656	0.844045	0.243047
2.295	-13.2728	0.923528	0.335715
2.31	-9.57835	0.992721	0.656662
2.325	-6.51646	0.996431	0.86734
2.34	-6.74473	0.996272	0.871275
2.355	-9.37466	0.830053	0.518959
2.37	-8.28251	0.656543	0.222626
2.385	-0.1628	0.93036	0.688292
2.4	3.33819	0.957422	0.791325
2.415	4.33764	0.951553	0.821093
2.43	4.23543	0.949144	0.826035
2.445	3.85122	0.951672	0.834545
2.46	4.24897	0.958655	0.845504
2.475	3.82452	0.965366	0.852894
2.49	1.11252	0.976267	0.813799
2.505	-3.71552	0.984751	0.745011
2.52	-9.96097	0.981675	0.743574
2.535	-10.3196	0.976334	0.728565
2.55	-4.67043	0.97366	0.768691
2.565	-2.4149	0.977282	0.879932
2.58	-4.59713	0.897458	0.738276
2.595	-9.76834	-0.114715	0.306207
2.61	-8.247	-0.635206	0.170435
2.625	-8.71534	-0.676063	0.185767
2.64	-12.5763	-0.575243	0.167445
2.655	-18.1603	-0.0830427	0.136177
2.67	-10.5398	0.975355	0.598798
2.685	-4.67527	0.995455	0.866399
2.7	-2.91975	0.994317	0.869451
2.715	-3.27068	0.993952	0.864762
2.73	-3.67911	0.993969	0.865245
2.745	-3.6633	0.993902	0.871459
2.76	-4.28875	0.992271	0.859938
2.775	-5.20714	0.985575	0.819789
2.79	-4.85315	0.98099	0.856579
2.805	-3.16482	0.981847	0.853396
2.82	-1.65844	0.984688	0.871135
2.835	-1.22618	0.985051	0.861277
2.85	-1.63323	0.985714	0.859154
2.865	-2.29689	0.985516	0.851932
2.88	-3.10861	0.984644	0.847714
2.895	-3.89752	0.985053	0.844842
2.91	-5.1896	0.985417	0.834253
2.925	-8.56808	0.975205	0.773319
2.94	-13.6156	0.799375	0.476629
2.955	-16.0103	0.218512	0.0990206
2.97001	-15.9107	0.0124492	0.0889558
2.98501	-15.4746	-0.01451	0.112223
3.00001	-17.6561	0.0536717	0.164565
3.01501	-28.9723	0.616784	0.119897
3.03001	-40.9442	0.924693	0.722292
3.04501	-47.4724	0.679174	0.439478
3.06001	-49.3115	0.462168	0.110316
3.07501	-5.53629	0.00784356	0.145471
3.09001	0.504228	-0.167606	0.116493
3.10501	1.14862	-0.236209	0.151684
3.12001	-1.86844	-0.227545	0.16838
3.13501	-5.77414	-0.156924	0.143139
3.15001	-9.58612	-0.0897868	0.143277
3.16501	-14.3529	-0.10197	0.188955
3.18001	-41.4489	0.478964	0.315521
3.19501	-49.8226	0.390702	0.128744
3.21001	-50.782	0.333742	0.0766057
3.22501	-11.699	0.262546	0.165747
3.24001	-5.82082	-0.0748355	0.196416
3.25501	-5.44717	-0.0375755	0.174359
3.27001	-9.20685	0.344901	0.311049
3.28501	-14.142	0.581713	0.316299
3.30001	-10.8336	0.89389	0.637995
3.31501	-6.94113	0.931287	0.746523
3.33001	-5.05354	0.935766	0.760577
3.34501	-2.98341	0.945838	0.771854
3.36001	-1.11833	0.950958	0.810709
3.37501	0.163066	0.967914	0.824384
3.39001	0.195192	0.96604	0.813858
3.40501	-1.52373	0.960228	0.757313
3.42001	-3.66238	0.959272	0.786456
3.43501	-4.13948	0.962904	0.788252
3.45001	-3.55625	0.963064	0.803333
3.46501	-3.23099	0.96415	0.816112
3.48001	-3.25617	0.968212	0.825753
3.49501	-3.59396	0.969397	0.825108
3.51001	-4.72577	0.966069	0.823389
3.52501	-6.41247	0.961882	0.817771
3.54001	-8.10135	0.97278	0.8184
3.55501	-10.3039	0.980089	0.801163
3.57001	-14.8628	0.952512	0.723499
3.58501	-18.8624	-0.115923	0.229888
3.60001	-17.8997	-0.635674	0.137808
3.61501	-17.966	-0.618178	0.133944
3.63001	-18.329	-0.635006	0.121456
3.64501	-19.2354	-0.615623	0.144518
3.66001	-19.8413	-0.616823	0.160216
3.67501	-19.7743	-0.656017	0.136264
3.69001	-19.4799	-0.68384	0.123377
3.70501	-20.6591	-0.662788	0.157428
3.72001	-25.1493	-0.517646	0.123797
3.73501	-31.125	-0.112429	0.127386
3.75001	-34.4112	0.418424	0.122139
3.76501	-37.8022	0.835555	0.254155
3.78001	-47.4104	0.683922	0.335112
3.79501	-49.6079	0.489874	0.170269
3.81001	-49.2308	0.52044	0.300281
3.82501	-49.7354	0.446109	0.160182
3.84001	-49.3046	0.509126	0.26599
3.85501	-49.3399	0.47024	0.27776
3.87001	-49.3524	0.467988	0.25
3.88501	-48.9755	0.479329	0.301604
3.90001	-49.9311	0.344395	0.175451
3.91501	-50.0217	0.416136	0.214526
3.93001	-49.3018	0.506741	0.307454
3.94501	-48.981	0.484864	0.305811
3.96001	-48.0145	0.57302	0.440304
